"Title","Year","Authors","Journal","DOI","Source","Surveillance_Type","Governance","Geographic_Extent","Region","Country","Country_if_Multiple","Animal_Type","Number_Species","Species_name","Num_Indicators_Study","Num_Indicators_System","Indicators_study","Indicators_simpl","Unit_analysis","Source_of_indicators","Data_provider","Providers_if_multiple","Surveillance_system_name","Is_SyS","OneHealth","Response","System_purpose","Pilot_Proof_followup","Analysis_type","Statistical_framework","Keep"
"Retrospective time series analysis of veterinary laboratory data: Preparing a historical baseline for cluster detection in syndromic surveillance","2013.0","Dórea F.C., Revie C.W., McEwen B.J., McNab W.B., Kelton D., Sanchez J.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2012.10.010","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","cattle","17.0","NA","Bovine leukaemia virus (BLV) tests, Bovine viral diarrhoea tests, Biochemical profile, Clinical pathology tests (others), Gastro-intestinal, Johnes disease tests, Neospora caninum tests, Mastitis, Respiratory, Nonspecific test, grouped Circulatory/hepatic/hematopoietic syndrome, Circulatory, hepatic and hematopoietic, reproductive/abortion, Systemic, Toxicology tests, urinary, other (including skin, eye, ears)","lab tests","Population","Tests ordered in the Animal Health Laboratory (AHL) Laboratory Information Management System (LIMS)","Private veterinarian","NA","AHL prospective system","NA","No","NA","early detection of disease outbreak in cattle","Adapted to equines","Temporal","Frequentist","No"
"Small animal disease surveillance 2020/21: SARS-CoV-2, syndromic surveillance and an outbreak of acute vomiting in UK dogs","2021.0","Collins M., Singleton D.A., Noble P.J.M., Pinchbeck G.L., Smith S., Brant B., Smyth S., Radford A.D., Appleton C., Jewell C., Rowlingson B., Caddy S., Jones P.H.","Veterinary Record","10.1002/vetr.427","LitSearch","Established","Academic","National","North America","UK","NA","Companion","2.0","dog, cat","4.0","multiple","consultations, gastroenteric, respiratory, pruritus","consultations, GI, respiratory, skin/fur/plumage","Population","Veterinarian reports","Private veterinarian","NA","SAVSNET (Small Animal Veterinary Surveillance Network)","Yes","No","publication on website_field investigation","rapid and actionable research and surveillance","Established","Temporal","Frequentist","Yes"
"Suitability of sentinel abattoirs for syndromic surveillance using provincially inspected bovine abattoir condemnation data","2015.0","Alton G.D., Pearl D.L., Bateman K.G., McNab W.B., Berke O.","BMC Veterinary Research","10.1186/s12917-015-0349-1","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","cattle","1.0","NA","pneumonic lung condemnations","carcass condemnation","Population","Abattoir meat condemnation reports in Food Safety Decision Support System (FSDSS) database","Meat inspector","NA","FSDSS prospective","NA","No","NA","detection of disease outbreaks","nothing on OMAFRA website","Temporal","Frequentist","No"
"Surveillance of animal diseases through implementation of a Bayesian spatio-temporal model: A simulation example with neurological syndromes in horses and West Nile Virus","2019.0","Hedell R., Andersson M.G., Faverjon C., Marcillaud-Pitel C., Leblond A., Mostad P.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2018.11.010","LitSearch","Established","Nonprofit","National","Europe","France","NA","Livestock","1.0","horse","1.0","11.0","neurological symptoms","nervous","Population","declarations from veterinary practitioners registered as sentinels","Private veterinarian","NA","RESPE","Yes","No","publication on website_field investigation_inform Ministry of Agriculture","rapid detection of diseases in horses","Established","Spatio-temporal","Bayesian","No"
"Syndromic surveillance by veterinary practitioners: A pilot study in the pig sector","2019.0","Correia-Gomes C., Henry M.K., Williamson S., Irvine R.M., Gunn G.J., Woolfenden N., White M.E.C., Tongue S.C.","Veterinary Record","10.1136/vr.104868","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","UK","NA","Livestock","1.0","pig","8.0","NA","systemic, skin, respiratory, nervous, musculoskeletal, gastrointestinal, other, not known","general illness, respiratory","Herd_flock","disease incident reports","Private veterinarian","NA","NA","NA","No","NA","detection of new and re-emerging threats to animal health","No, checked SRUC website","Temporal","NA","Yes"
"Syndromic surveillance for evaluating the occurrence of healthcare-associated infections in equine hospitals","2014.0","Ruple-Czerniak A.A., Aceto H.W., Bender J.B., Paradis M.R., Shaw S.P., Van Metre D.C., Weese J.S., Wilson D.A., Wilson J., Morley P.S.","Equine Veterinary Journal","10.1111/evj.12190","LitSearch","Prospective/Proof of Concept",NA,"Multi-Region","North America","USA","NA","Livestock","1.0","horse","7.0","NA","i.v. catheter site inflammation (abnormal inflammation of the skin, subcutaneous tissues or blood vessels at sites where indwelling catheters were placed, manifested by redness, swelling, heat, drainage or thrombosis); abnormal urinary tract inflammation associated with urinary catheterisation (empirical evidence of urinary tract inflammation in animals that had been catheterised, manifested by bacteria in urine samples, pyuria, haematuria, pollakiuria, stranguria or urethritis); acute infectious respiratory tract disorders (evidence of upper or lower respiratory tract disorders, evidenced by coughing, sneezing, nasal discharge, abnormal lung sounds, tachypnoea or dyspnoea); acute gastrointestinal disorders (significant diarrhoea or abdominal discomfort not predictably related to treatment); inflammation or infection at the surgical site (apparent infectious problems related to surgical interventions, manifested by redness, swelling, heat, drainage at the incision site or inflammation and/or fluid accumulation at other sites); fever of undetermined origin (temperature >39.2°C [102.5°F] that appeared to be unrelated to other identified problems); and sepsis (clinical or microbiological evidence of bacteraemia or sepsis)","skin/fur/plumage, urinary, respiratory, GI, general illness","Population","standardised form provided by authors of study","Private veterinarian","NA","NA","NA","No","NA","estimate rate of nosocomial infection in horses","No","NA","Frequentist","Yes"
"Syndromic surveillance for West Nile virus using raptors in rehabilitation","2017.0","Ana A., Perez Andrés M., Julia P., Pedro P., Arno W., Kimberly V.W., Julio A., Michelle W.","BMC Veterinary Research","10.1186/s12917-017-1292-0","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","USA","NA","Wildlife","28.0","raptor","10.0","NA","admissions, integumentary system (damaged feather/cere/ft, bumblefoot, soft tissue injury); musculoskeletal system (fracture, luxation/subluxation, posterior paralysis); nervous system (convulsions, head tremors, head tilt/disorientation, postural problems/imbalance); gastrointestinal system (anorexia, diarrhea, lesions in mouth, regurgitation); respiratory system (respiratory distress, swollen sinus); urinary system (polydipsia, polyuria, urates in cloaca); special senses (ear injury and ocular disease); non-specific (assymetrical wing beats, injured but alert/feisty, unable to fly or stand, moderate weight loss, not emaciated); systemic (dehydration, weight loss, emaciation, depression/weakness); no problems observed","consultations, general illness, skin/fur/plumage, eyes/ears, nervous, GI, respiratory","Population","Wildlife rehab center records","Private veterinarian","NA","NA","NA","No","NA","early detection of disease outbreak in raptors","No, checked The Raptor Center website","Temporal","Frequentist","Yes"
"Syndromic surveillance in companion animals utilizing electronic medical records data: Development and proof of concept","2016.0","Kass P.H., Weng H.-Y., Gaona M.A.L., Hille A., Sydow M.H., Lund E.M., Markwell P.J.","PeerJ","10.7717/peerj.1940","LitSearch","Prospective/Proof of Concept",NA,"National","North America","USA","NA","Companion","2.0","dog, cat","10.0","NA","anorexia, elevated alanine aminotransferase (ALT), elevated serum calcium, elevated creatinine, diarrhea, lethargy, a Salmonella-positive fecal sample, seizures, urolithiasis, and vomiting","general illness, GI, nervous, urinary","Population","Electronic medical records from veterinary hospitals","Private veterinarian","NA","ADORE (Aberrant Diagnostic Outcome Repository in Epidemiology)","NA","No","NA","detect threats to companion animal health","No, searched UC Davis, Purdue, Google","Spatio-temporal","Frequentist","Yes"
"Syndromic surveillance of abortions in beef cattle based on the prospective analysis of spatio-temporal variations of calvings","2015.0","Bronner A., Morignat E., Fournié G., Vergne T., Vinard J.-L., Gay E., Calavas D.","Scientific Reports","10.1038/srep18285","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock","1.0","cattle","1.0","NA","Calvings","reproductive","Population","French National Cattle Registe","Farmer/Owner","NA","NA","NA","No","NA","early detection of abortive disease in cattle","No","Spatio-temporal","Frequentist","Yes"
"Syndromic surveillance of peste des petits ruminants and other animal diseases in Koinadugu district, Sierra Leone, 2011-2012","2015.0","Sundufu AJ, Ansumana R, Bockarie AS, Bangura U, Lamin JM, Jacobsen KH, Stenger DA.","Trop Anim Health Prod","10.1007/s11250-014-0736-9","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","Africa","Sierra Leone","NA","Livestock","4.0","cattle, sheep, goat","23.0","NA","fever, pronounced discharges from eyes, discharge from nose, discharge from mouth, pus-filled oral lesions, diarrhoea, death, mange (subcutaneous infection characterised by hair loss, itching, and reddened and thickened cracked skin), foot rot (lameness, dermatitis, formation of foul-smelling pus on the feet), emaciation, anaemia, swollen lymph nodes, swollen shoulder or hip causing lameness of one limb, crepitations under the animal’s hide, high fever, diarrhoea, swelling of the tongue and throat, extended neck and head, coughing with a running nose, abortion with retention of the placenta between the fifth and eighth months of gestation, sudden death with flexible legs, nose and mouth bleeding, and subcutaneous swellings, enlarged spleen postmortem examination","general illness, eyes/ears, mucosa, GI, mortality, skin/fur/plumage, musculoskeletal, respiratory, reproductive, hemorrhage","Population","Veterinarian disease reports","Multiple (see notes)","Private Veterinarian, Farmer/Owner","Koinadugu prospective system","NA","No","NA","detection of endemic disease","No, checked Google and Ministry website","NA","NA","Yes"
"Syndromic surveillance of peste des petits ruminants and other animal diseases in Koinadugu district, Sierra Leone, 2011-2012","2015.0","Sundufu AJ, Ansumana R, Bockarie AS, Bangura U, Lamin JM, Jacobsen KH, Stenger DA.","Trop Anim Health Prod","10.1007/s11250-014-0736-9","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","Africa","Sierra Leone","NA","Livestock","4.0","poultry","4.0","NA","nasal and oral discharge, diarrhea, cough, nervous system signs (droopy wings and a twisted head and neck)","mucosa, GI, respiratory, nervous","Population","Veterinarian disease reports","Multiple (see notes)","Private Veterinarian, Farmer/Owner","Koinadugu prospective system","NA","No","NA","detection of endemic disease","No, checked Google and Ministry website","NA","NA","Yes"
"Syndromic Surveillance of Respiratory Disease in Free-Living Chimpanzees","2019.0","Wolf T.M., Singer R.S., Lonsdorf E.V., Maclehose R., Gillespie T.R., Lipende I., Raphael J., Terio K., Murray C., Pusey A., Hahn B.H., Kamenya S., Mjungu D., Travis D.A.","EcoHealth","10.1007/s10393-019-01400-y","LitSearch","Established","Government, Nonprofit","Local/Municipal","Africa","Tanzania","NA","Wildlife","1.0","chimpanzee","3.0","Multiple but specific symptoms not detailed but include respiratory, gastrointestinal, musculoskeletal, dermatologic, general body condition","coughing, sneezing, rhinorrhea","respiratory","Herd_flock","Disease report","Private veterinarian","NA","Gombe National Park syndromic surveillance for chimpanzees","Yes","No","field investigation","early detection of disease outbreak in chimpanzees","Established","Temporal","Frequentist","Yes"
"Syndromic surveillance of the frequency and severity of respiratory compromise of brachycephalic dogs in ICUs","2022.0","Barchard-Couts A., Rozanski E., onbehalfoftheBrachycephalic Study Group","Journal of Veterinary Emergency and Critical Care","10.1111/vec.13111","LitSearch","Prospective/Proof of Concept",NA,"Multi-Country","Multiple","Multi-Country","USA, Australia","Companion","1.0","dog","2.0","NA","level of respiratory compromise (scale of 1–4), on-set of respiratory problem (before or during hospitalization)","respiratory","Population","Survey questionnaire sent to participating veterinarians","Private veterinarian","NA","NA","NA","No","NA","detection of respiratory disease in dogs","No, checked Google and ACCVES website","NA","NA","Yes"
"Syndromic surveillance system based on near real-time cattle mortality monitoring","2015.0","Torres G., Ciaravino V., Ascaso S., Flores V., Romero L., Simón F.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2015.03.003","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","Europe","Spain","NA","Livestock","1.0","cattle","1.0","NA","mortality","mortality","Population","Spanish National Cattle Register (REGA) and national fallen stock database","Farmer/Owner","NA","NA","NA","No","NA","early detection of disease outbreak in cattle","No, checked food and environmental and health ministry websites","Temporal","Frequentist","Yes"
"Syndromic surveillance using veterinary laboratory data: Algorithm combination and customization of alerts","2013.0","Dórea F.C., McEwen B.J., McNab W.B., Sanchez J., Revie C.W.","PLoS ONE","10.1371/journal.pone.0082183","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","cattle","2.0","17.0","laboratory test requests related to mastitis diagnostics, laboratory test requests for identification of bovine leukemia virus","lab tests","Population","test requests to Animal Health Laboratory (AHL)","Private veterinarian","NA","AHL prospective system","NA","No","NA","early detection of disease outbreak in cattle","Adapted to equines","Temporal","Frequentist","No"
"Syndromic surveillance using veterinary laboratory data: Data pre-processing and algorithm performance evaluation","2013.0","Dórea F.C., McEwen B.J., McNab W.B., Revie C.W., Sanchez J.","Journal of the Royal Society Interface","10.1098/rsif.2013.0114","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","cattle","16.0","NA","gastro-intestinal, mastitis, respiratory, circulatory/hepatic/haematopoietic, nervous, reproductive/abortion, systemic, urinary, ‘others’, diagnostic tests for bovine leukaemia virus (BLV), diagnostic tests for bovine viral diarrhoea virus (BVD), diagnostic tests for Mycobacterium paratuberculosis (Johne's disease), diagnostic tests for Neospora caninum, biochemical profile test, other clinical pathology tests, toxicology tests, non-specific tests","lab tests","Population","test requests to Animal Health Laboratory (AHL)","Private veterinarian","NA","AHL prospective system","NA","No","NA","early detection of disease outbreak in cattle","Adapted to equines","Temporal","Frequentist","No"
"The Comparison of Three Statistical Models for Syndromic Surveillance in Cattle Using Milk Production Data","2020.0","Veldhuis A.M.B., Swart W.A.J.M., Brouwer-Middelesch H., Stegeman J.A., Mars M.H., van Schaik G.","Frontiers in Veterinary Science","10.3389/fvets.2020.00067","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Netherlands","NA","Livestock","1.0","cattle","1.0","NA","average milk yield per animal per day per herd","milk production","Population","bulk milk collection recordings","Farmer/Owner","NA","NA","NA","No","NA","early detection of emerging diseases in cattle in the Netherlands","No, authors involved in CHSS but data and analysis are different","Spatio-temporal","Both","Yes"
"Use of big data in the surveillance of veterinary diseases: Early detection of tick paralysis in companion animals","2016.0","Guernier V., Milinovich G.J., Santos M.A.B., Haworth M., Coleman G., Soares Magalhaes R.J.","Parasites and Vectors","10.1186/s13071-016-1590-6","LitSearch","Prospective/Proof of Concept",NA,"National","Oceania","Australia","NA","Companion","1.0","dog","1.0","NA","Web searches of selected terms","web search/social media","Population","Web searches","Member of public","NA","NA","NA","No","NA","early detection of high-risk periods for tick paralysis","No, checked Google and U Queensland website","Temporal","Frequentist","Yes"
"Using farmer observations for animal health syndromic surveillance: Participation and performance of an online enhanced passive surveillance system","2021.0","Pfeiffer C., Stevenson M., Firestone S., Larsen J., Campbell A.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2021.105262","LitSearch","Pilot program",NA,"State/Province/Department","Oceania","Australia","NA","Livestock","2.0","cattle, sheep","10.0","10.0","Deaths, reduced production/ill thrift, gut or mouth signs, reproductive failure, nervous system signs, respiratory signs, skin/eye signs, urinary tract signs, other","mortality, reduced production, GI, reproductive, nervous, respiratory, skin/fur/plumage, eyes/ears, urinary, general illness","Population","Monthly disease summary reports via an online interface","Farmer/Owner","NA","LANDI (Local Area Network for Disease Information surveillance system)","Yes","No","inform stakeholders (authorities, industry, farmers)","collect information about endemic diseases in sheep and beef cattle; supplement existing state-wide strategies for collecting prevalence data about common disease presentations; inform disease control strategies","Appears discontinued, no funding evident in Agriculture Victoria after 2018","NA","Frequentist","Yes"
"Using longitudinal syndromic surveillance to describe small ruminant health in village production systems in Myanmar","2018.0","Hanks J.E., Glanville E.J., Phyu E., Hlaing N., Naing Oo L., Aung A., Naing Oo K., Campbell A.J.D.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2018.09.024","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Asia","Myanmar","NA","Livestock","2.0","goat, sheep","10.0","NA","mortality, lameness, respiratory, gastrointestinal, neurological, skin, reproduction, urogenital, ill-thrift, other","mortality, musculoskeletal, GI, nervous, skin/fur/plumage, reproductive, urinary, reduced production, general illness","Herd_flock","Reports by project staff in consultation with owners","Member Study Team","NA","NA","NA","No","NA","overcome limitations in disease diagnosis due to lack of veterinary services","no, searched Google and ACIAR website","Temporal","Frequentist","Yes"
"Using syndromic surveillance to estimate baseline rates for healthcare-associated infections in critical care units of small animal referral hospitals","2013.0","Ruple-Czerniak A., Aceto H.W., Bender J.B., Paradis M.R., Shaw S.P., Van Metre D.C., Weese J.S., Wilson D.A., Wilson J.H., Morley P.S.","Journal of Veterinary Internal Medicine","10.1111/jvim.12190","LitSearch","Prospective/Proof of Concept",NA,"Multi-Region","North America","USA","NA","Companion","2.0","dog, cat","7.0","NA","intravenous catheter site inflammation, urinary tract inflammation after urinary catheterization, acute infectious respiratory tract disorders, acute gastrointestinal disorders, surgery site inflammation or infection, fever of undetermined origin, septicemia","skin/fur/plumage, urinary, respiratory, GI, general illness","Population","Bespoke form for study","Private veterinarian","NA","NA","NA","No","NA","estimate the occurrence of events and risk factors related to HCAI","No","NA","Frequentist","Yes"
"Utility of examining fallen stock data to monitor health-related events in equids: Application to an outbreak of West Nile Virus in France in 2015","2019.0","Cazeau G., Leblond A., Sala C., Froustey M., Beck C., Lecollinet S., Tapprest J.","Transboundary and Emerging Diseases","10.1111/tbed.13150","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","Europe","France","NA","Livestock","1.0","horse","1.0","NA","mortality","mortality","Population","Fallen Stock Data Interchange database (FSDI) managed by the French Ministry of Agriculture","Private veterinarian","NA","OMAR Equidés","No","No","NA","early detection of disease outbreaks in horses","Website = still in pilot phase","Temporal","Frequentist","No"
"Value of evidence from syndromic surveillance with cumulative evidence from multiple data streams with delayed reporting","2017.0","Struchen R., Vial F., Andersson M.G.","Scientific Reports","10.1038/s41598-017-01259-5","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Switzerland","NA","Livestock","1.0","cattle","1.0","NA","deaths, stillbirths","mortality, reproductive","Population","Tierverkehrsdatenbank (TVD)","Farmer/Owner","NA","Tierverkehrsdatenbank (TVD) prospective system","NA","No","NA","early detection of disease","No, checked relevant Swiss websites","Temporal","Bayesian","Yes"
"Veterinary syndromic surveillance using swine production data for farm health management and early disease detection","2022.0","Merca C., Lindell I.C., Ernholm L., Selling L.E., Nunes T.P., Sjölund M., Dórea F.C.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2022.105659","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Sweden","NA","Livestock","1.0","pig","10.0","24.0","reservices per week, pregnancy length, abortions per week, live piglets per farrowing, piglets weaned per week, piglets weaned per litter, deaths in weaning piglets per week, dead sows per week","reproductive, mortality","Population","PigVision software database","Farmer/Owner","NA","NA","NA","No","NA","early detection of disease outbreaks, health and management decision support tool for farmers","No, google search","Temporal","Frequentist","Yes"
"Vetsyn: An R package for veterinary syndromic surveillance","2015.0","Dórea F.C., Widgren S., Lindberg A.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2015.10.002","LitSearch","Established","Government","National","Europe","Sweden","NA","Companion","1.0","dog","2.0","multiple","Gastrointestinal and systemic laboratory test requests","lab tests","Population","Swedish National Veterinary Institute (SVA) database","NA","NA","SVA system","Yes","No","field investigation if deemed necessary_report documenting non-investigation justifying false alarm","early detection of disease outbreaks","Established","Temporal","Frequentist","No"
"Assessment of the utility of routinely collected cattle census and disposal data for syndromic surveillance","2012.0","Perrin J.-B., Ducrot C., Vinard J.-L., Morignat E., Calavas D., Hendrikx P.","Preventive Veterinary Medicine","10.1016/j.prevetmed.2011.12.015","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock","1.0","cattle","1.0","NA","mortality","mortality","Population","National Cattle Register (NCR) and Fallen Stock Data Interchange (FSDI)","Multiple (see notes)","Farmer/Owner, Private company (disposal services, etc)","OMAR","Yes","No","NA","early detection of emerging diseases, epidemiological changes in the pattern of enzootic diseases, or other health events","OMAR","Spatio-temporal","Frequentist","No"
"Characterization of the temporal trends in the rate of cattle carcass condemnations in the US and dynamic modeling of the condemnation reasons in California with a seasonal component","2018.0","Haredasht S.A., Vidal G., Edmondson A., Moore D., Silva-del-Río N., Martínez-López B.","Frontiers in Veterinary Science","10.3389/fvets.2018.00087","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","USA","NA","Livestock","1.0","cattle","2.0","NA","carcass condemnation, reason for condemnation","carcass condemnation","Population","Food Safety and Inspection Service (FSIS) of the United States Department of Agriculture (USDA)","Meat inspector","NA","NA","NA","No","NA","identify reasons for carcass condemnations and prioritize the management practices and risk mitigation strategies to minimize future condemnations","No, checked USDA Food Safety and Inspection Service (FSIS) website; also note that FOIA needed to get data","Temporal","Frequentist","Yes"
"Comparison of covariate adjustment methods using space-time scan statistics for food animal syndromic surveillance","2013.0","Alton G.D., Pearl D.L., Bateman K.G., McNab B., Berke O.","BMC Veterinary Research","10.1186/1746-6148-9-231","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","cattle","2.0","NA","“parasitic liver” condemnation data, pneumonic lung condemnation data","carcass condemnation","Population","Food Safety Decision Support System (FSDSS) database","Meat inspector","NA","FSDSS prospective","NA","No","NA","detection of disease outbreaks","nothing on OMAFRA website","Spatio-temporal","Frequentist","Yes"
"Comparison of whole carcass condemnation and partial carcass condemnation data for integration in a national syndromic surveillance system: The Swiss experience","2015.0","Vial F., Reist M.","Meat Science","10.1016/j.meatsci.2014.11.002","LitSearch","Prospective/Proof of Concept",NA,"Local/Municipal","Europe","Switzerland","NA","Livestock","1.0","cattle","2.0","NA","partial carcass condemnations, whole carcass condemnations","carcass condemnation","Population","partial carcass condemnations provided by slaughterhouse, whole carcass condemnation found in FLEKO database","Meat inspector","NA","NA","NA","No","NA","early detection of emerging diseases in production animals","No","Spatio-temporal","Frequentist","Yes"
"Defining syndromes using cattle meat inspection data for syndromic surveillance purposes: A statistical approach with the 2005-2010 data from ten French slaughterhouses","2013.0","Dupuy C., Morignat E., Maugey X., Vinard J.-L., Hendrikx P., Ducrot C., Calavas D., Gay E.","BMC Veterinary Research","10.1186/1746-6148-9-88","LitSearch","Pilot program",NA,"Multi-Region","Europe","France","NA","Livestock","1.0","cattle","3.0","NA","signs observed during ante-mortem inspection, reasons for condemnation, locations for condemnation","carcass condemnation","Population","Data uploaded by food business operator to Nergal-Abattoir project","Meat inspector","NA","Nergal-Abattoir","Yes","No","field investigation suggested","early detection of disease outbreaks in food animals","No","NA","Frequentist","No"
"Design and implementation of a collaborative epidemiological surveillance system for aquaculture (VECA)","2018.0","Muniesa A., Ruiz-Zarzuela I., de Blas I.","Reviews in Aquaculture","10.1111/raq.12165","LitSearch","Pilot program",NA,"National","Europe","Spain","NA","Fisheries/Aquaculture","multiple","fish","10.0","NA","abnormal mortality, decrease in growth, number of deaths, average weight of dead fish, suspected aetiology of the outbreak, laboratory results, application of treatments, treatment of type, vaccination, effectiveness of treatment (null, low, moderate or high)","mortality, reduced production, general illness, lab tests, prescriptions","Herd_flock","Data uploaded into bespoke system","Farmer/Owner","NA","VECA (Vigilancia Epidemiológica Colaborativa en Acuicultura)","Yes","No","report to stakeholders","Early warning of health problems in fisheries/aquaculture sector","No, functional but very basic website (http://veca.winepi.net/info.php), no further mention online or on FEADSA website","Temporal","NA","Yes"
"Designing a Syndromic Bovine Mortality Surveillance System: Lessons Learned From the 1-Year Test of the French OMAR Alert Tool","2020.0","Sala C., Vinard J.-L., Pandolfi F., Lambert Y., Calavas D., Dupuy C., Garin E., Touratier A.","Frontiers in Veterinary Science","10.3389/fvets.2019.00453","LitSearch","Pilot program",NA,"Multi-Region","Europe","France","NA","Livestock","1.0","cattle","1.0","1.0","mortality","mortality","Population","Fallen Stock Data Interchange Database","Private company (disposal services, etc)","NA","OMAR","Yes","No","report to veterinary authority, cattle association","early detection of emerging diseases, epidemiological changes in the pattern of enzootic diseases, or other health events","Yes, operational","Spatio-temporal","Frequentist","No"
"Epidemiological investigation of a rift valley fever outbreak in humans and livestock in Kenya, 2018","2020.0","Hassan A., Muturi M., Mwatondo A., Omolo J., Bett B., Gikundi S., Konongoi L., Ofula V., Makayotto L., Kasiti J., Oele E., Onyango C., Gura Z., Njenga K., Munyua P.","American Journal of Tropical Medicine and Hygiene","10.4269/ajtmh.20-0387","LitSearch","Temporary","Government","Multi-Region","Africa","Kenya","NA","Livestock","4.0","cattle, sheep, goat, camel","5.0","5.0","clinically sick animals (fever, general malaise, stuttering gait), deaths from suspected Rift Valley Fever, deaths of young animals (<2 weeks old), abortions, hemorrhagic","general illness, mortality, reproductive, hemorrhage","Herd_flock","Interviews with owners","Multiple (see notes)","Farmer/Owner, Government Veterinarian","KDVS (Kenya Directorate of Veterinary Services) RVF system","Yes","Yes","field investigation_contact tracing of human contact with infected animals","early detection of RVF","Temporary","Temporal","NA","Yes"
"Epidemiological surveillance system for the acute febrile syndrome in Villeta, Colombia [Sistema de vigilancia epidemiológica para el síndrome febril agudo en Villeta, Colombia]","2019.0","Yaya-Lancheros N., Polo-Terán L.J., Faccini-Martínez Á.A., Hidalgo-Díaz M.","Revista de Salud Publica","10.15446/RSAP.V21N3.56122","LitSearch","Pilot program",NA,"Local/Municipal","South America","Colombia","NA","Companion","1.0","dog","12.0","12.0","fever with at least one of the following: myalgia, mucosal/conjuctival hyperemia, depression, vomiting, hemorrhages, oliguria (not urinating), anuria (not urinating), diarrhea, abdominal pain, jaundice, convulsions","musculoskeletal, mucosa, general illness, GI, hemorrhage, urinary, nervous","Population","Report by veterinarian","Private veterinarian","NA","Villeta system","Yes","Yes","field investigation","early detection of febrile illness outbreak","No, checked Villeta and university websites","NA","NA","Yes"
"Evaluation of a Continuous Indicator for Syndromic Surveillance through Simulation. Application to Vector Borne Disease Emergence Detection in Cattle Using Milk Yield","2013.0","Madouasse A., Marceau A., Lehébel A., Brouwer-Middelesch H., van Schaik G., Van der Stede Y., Fourichon C.","PLoS ONE","10.1371/journal.pone.0073726","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","France","NA","Livestock","1.0","cattle","1.0","NA","milk production","milk production","Population","Centre de Traitement de l’Information Génétique (CTIG) database (Ministry of Agriculture)","Farmer/Owner","NA","Madouasse prospective system","NA","No","NA","early detection of emerging disease in livestock","No","Spatio-temporal","Frequentist","Yes"
"Evaluation of Swiss slaughterhouse data for integration in a syndromic surveillance system","2014.0","Vial F., Reist M.","BMC Veterinary Research","10.1186/1746-6148-10-33","LitSearch","Prospective/Proof of Concept",NA,"National","Europe","Switzerland","NA","Livestock","4.0","cattle, pig, sheep, goat","21.0","NA","emergency slaughters, whole carcass condemnations, SPSTBV (symptoms of pyaemia, septicemia, toxemia, bacteremia or viremia), tumors, abcesses, severe injuries, pronounced weight loss, acute lesions, animal arrived dead, animal agonizing, no pre-mortem control, some parts not controlled, contains risk material, soiled/heat-damaged, color of carcass, smell of carcass, texture of carcass, flavor of carcass, appearance of carcass, severe intoxication, forbidden substance","carcass condemnation","Population","FLEKO database","Meat inspector","NA","FLEKO prospective system","NA","No","NA","early detection of emerging and re-emerging diseases in production animals","No (checked FLEKO website)","Spatio-temporal","Frequentist","Yes"
"Exploring relationships between whole carcass condemnation abattoir data, non-disease factors and disease outbreaks in swine herds in Ontario (2001-2007)","2014.0","Thomas-Bachli A.L., Pearl D.L., Friendship R.M., Berke O.","BMC Research Notes","10.1186/1756-0500-7-185","LitSearch","Prospective/Proof of Concept",NA,"State/Province/Department","North America","Canada","NA","Livestock","1.0","pig","1.0","NA","carcass condemnations","carcass condemnation","Population","Ontario Ministry of Agriculture, Food and Rural Affairs (OMAFRA) database","Meat inspector","NA","NA","NA","No","NA","early detection of new, emerging or re-emerging diseases outbreaks in pigs","nothing on OMAFRA website","Spatio-temporal","Frequentist","Yes"
